bin_center,density
-3.263434,0.000000
-3.140644,0.000000
-3.017853,0.000000
-2.895063,0.000000
-2.772273,0.000000
-2.649483,0.000000
-2.526692,0.000000
-2.403902,0.000000
-2.281112,0.000000
-2.158321,0.000000
-2.035531,0.000000
-1.912741,0.000000
-1.789950,0.000000
-1.667160,0.000000
-1.544370,0.000000
-1.421579,0.000000
-1.298789,0.000081
-1.175999,0.000000
-1.053209,0.000000
-0.930418,0.000000
-0.807628,0.000000
-0.684838,0.000000
-0.562047,0.000000
-0.439257,0.000000
-0.316467,0.000000
-0.193676,0.000000
-0.070886,0.000081
0.051904,0.000000
0.174695,0.000244
0.297485,0.000081
0.420275,0.000000
0.543066,0.000163
0.665856,0.000407
0.788646,0.000244
0.911436,0.000407
1.034227,0.000896
1.157017,0.001629
1.279807,0.002688
1.402598,0.004561
1.525388,0.006841
1.648178,0.013193
1.770969,0.021500
1.893759,0.042674
2.016549,0.081277
2.139340,0.164590
2.262130,0.312973
2.384920,0.550532
2.507711,0.863667
2.630501,1.157013
2.753291,1.317938
2.876082,1.235521
2.998872,0.991039
3.121662,0.652820
3.244452,0.388141
3.367243,0.182018
3.490033,0.084697
3.612823,0.034286
3.735614,0.016125
3.858404,0.007574
3.981194,0.003420
4.103985,0.001140
4.226775,0.001384
4.349566,0.000896
4.472356,0.000570
4.595146,0.000407
4.717937,0.000163
4.840727,0.000000
4.963517,0.000081
5.086308,0.000000
5.209098,0.000000
5.331888,0.000000
5.454679,0.000000
5.577469,0.000000
5.700259,0.000000
5.823050,0.000000
5.945840,0.000000
6.068630,0.000000
6.191421,0.000000
6.314211,0.000000
6.437001,0.000000
6.559792,0.000000
6.682582,0.000000
6.805372,0.000000
6.928163,0.000000
7.050953,0.000000
7.173742,0.000000
7.296533,0.000000
7.419323,0.000000
7.542113,0.000000
7.664904,0.000000
7.787694,0.000000
7.910484,0.000000
8.033275,0.000000
8.156065,0.000000
8.278855,0.000000
8.401646,0.000000
8.524436,0.000000
8.647226,0.000000
8.770017,0.000000
8.892807,0.000000
